name,location,type,cluster,lat,long,alive_prog,barrier-free,adil_prog,year_built,age,mrt,capacity,divided,Notes,,year_upgraded,minaret,minaret-style,roof,
Hussein Sulaiman,"394 Pasir Panjang Road
S?pore 118730",Leasehold,West,1.291391581,103.7716654,,,,1902,119,,300,3,,,,,,,
Jamae Chulia,"218 South Bridge Road
S?pore 058767",Wakaf,South,1.283247221,103.8454314,,,,1826,195,CHINATOWN,1500,15,,,,,,,
Jamek Queenstown,"946 Margaret Drive
S?pore 149309",Leasehold,South,1.293010355,103.81556,,,,1965,56,REDHILL,400,4,,,,,,,
Jamiyah Ar-Rabitah,"601 Tiong Bahru Road
Singapore 158787",Leasehold,South,1.288403572,103.8201772,Yes,Yes,Yes,1960,61,REDHILL,2000,20,,,1985,,,,
Kampong Delta,"10 Delta Avenue
Singapore 169831",TOL,South,1.291901292,103.8284041,,,,1960,61,Tiong Bahru,500,5,,,1995,,,,
Kampung Siglap,"451 Marine Parade Road
Singapore 449283",MBMF,East,1.309788865,103.9277613,Yes,Yes,,1992,29,,3000,30,,,1992,,,,
Kassim,"450 Changi Road
Singapore 419877",Wakaf,East,1.318810157,103.912339,Yes,Yes,Yes,1924,97,Kembangan,2000,20,,,1999,,,,
Khadijah,"583 Geylang Road
S?pore 389522",Wakaf,East,1.314131569,103.8861923,Yes,Yes,,1920,101,ALJUNIED,500,5,,,2001,,,,
Khalid,"130 Joo Chiat Road
S?pore 427727",Wakaf,East,1.313672616,103.8992295,,,,1917,104,Eunos,2500,25,,,2021,,,,
Maarof,"20 Jurong West Street 26
Singapore 648125",MBMF,West,1.348645064,103.7050973,Yes,Yes,Yes,2019,2,BOON LAY,4500,45,,,,,,,
Malabar,"471 Victoria Street
Singapore 198370",Leasehold,South,1.305125691,103.8599087,,,,1918,103,Lavender,1000,10,,,1962,,,,
Moulana Mohd Ali,"80 Raffles Place #B1-01, UOB Plaza
Singapore 048624",Wakaf,South,1.285606035,103.8500716,,,,1994,27,RAFFLES PLACE,800,8,,,,,,,
Muhajirin,"275 Braddell Road
Singapore 579704",MBMF,North,1.343112013,103.8521157,,Yes,,1977,44,BRADDELL,1400,14,,,2009,,,,
Mujahidin,"590 Stirling Road
Singapore 148952",MBMF,South,1.298155112,103.8010991,Yes,Yes,,1977,44,COMMONWEALTH,3500,35,,,,,,,
Mydin,"67 Jalan Lapang
Singapore 419007",Wakaf,East,1.322647175,103.9152537,,,,1935,86,KEmbangan,1000,10,,,2001,,,,
Omar Kg Melaka,"10 Keng Cheow Street
Singapore 059607",Leasehold,South,1.287925953,103.8440944,,,,1820,201,Clarke Quay,500,5,,,1955,,,,
Omar Salmah,"441-B Jalan Mashor
Singapore 299173",TOL,North,1.33465091,103.831926,,,,1973,48,BUKIT BROWN,300,3,"early 1970s to serve Kampong Jantai, . The building of the mosque was prompted by the large numbers of non-villagers working in the vicinity who descended on the village?s surau (prayer hall) for Friday prayers. It was constructed in 1973-1974, with support coming financially through a prominent member of the Alsagoff family, Syed Ibrahim bin Omar Alsagoff. It was after Syed Ibrahim?s parents, Syed Omar and Salmah,",,,,,,
Petempatan Melayu Sembawang,"27-B Jalan Mempurong
Singapore 759055",TOL,North,1.458967925,103.8417066,,,,1970,51,,300,3,,,,,,,
Pulau Bukom,"Pulau Bukom PO Box 1908
Singapore 903808",TOL,West,1.226574236,103.7777095,,,,1960,61,,,10,,,,,,,
Pusara Aman,"11 Lim Chu Kang Road
Singapore 719452",TOL,West,1.372787316,103.6943642,,,,1972,49,,200,2,,,,,,,
Sallim Mattar,"1 Mattar Road
Singapore 387713",Wakaf,East,1.3257366,103.8812313,,,,1824,197,,2000,20,,,,,,,
Sultan,"3 Muscat Street
Singapore 198833",Wakaf,South,1.302284364,103.8589645,,Yes,,1824,197,,2000,20,,,,,,,
Tasek Utara,"46 Bristol Road
Singapore 219852",Wakaf,South,1.312997891,103.8492671,,,,1907,114,,120,1.2,,,,,,,
Temenggong Daeng Ibrahim,"30 Telok Blangah Road, Singapore",Others,South,1.266257446,103.8243643,,,,1871,150,,1500,15,Masjid Kampong Telok Blangah,,,,,,
Tentera Di Raja,"81 Clementi Road
Singapore 129797",TOL,West,1.298642911,103.7693021,,,,1961,60,DOVER,1000,10,,,,,,,
Wak Tanjong,"25 Paya Lebar Road
Singapore 409004",Wakaf,East,1.31750049,103.8919424,,,,1935,86,PAYA LEBAR,500,5,,,1998,,,,
Yusof Ishak,"10 Woodlands Drive 17
Singapore 737740",MBMF,North,1.426491587,103.7961876,Yes,Yes,Yes,2017,4,WOODLANDS SOUTH,4500,45,,,,,,,
